Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2010-01-04,6.424605846405029,6.439315641110835,6.3756731331389895,6.407194179053124,493729600
1,2010-01-05,6.435713768005371,6.472038144326465,6.401790655529927,6.4423183458135185,601904800
2,2010-01-06,6.333343982696533,6.46122979510523,6.326739406175394,6.435712513903516,552160000
3,2010-01-07,6.321635723114014,6.364264863379803,6.275705096078485,6.356759662485861,477131200
4,2010-01-08,6.363663673400879,6.364264490248965,6.276005737781527,6.313229928785868,447610800
5,2010-01-11,6.307527542114258,6.394285265000137,6.257693806687277,6.3882811039097005,462229600
6,2010-01-12,6.235778331756592,6.297320178477966,6.196752488900064,6.279907711305143,594459600
7,2010-01-13,6.323738098144531,6.332143924367034,6.12710701670797,6.2402830577612445,605892000
8,2010-01-14,6.287113189697266,6.318034217494398,6.2748050606744465,6.307527336740062,432894000
9,2010-01-15,6.182042121887207,6.352256457862323,6.18024087381016,6.332142521001956,594067600
10,2010-01-19,6.455526828765869,6.460029950088654,6.221370532159046,6.254092011335684,730007600
11,2010-01-20,6.356159210205078,6.470835465485497,6.289214025269366,6.451622553329798,612152800
12,2010-01-21,6.246285438537598,6.403591251069548,6.220468347725587,6.366666863160996,608154400
13,2010-01-22,5.936478614807129,6.229174664609914,5.918767140581944,6.207560485536676,881767600
14,2010-01-25,6.096184730529785,6.145117034148472,6.009726825525188,6.0793734823569965,1065699600
15,2010-01-26,6.182341575622559,6.415597962588801,6.081474100484834,6.182641783598773,1867110000
16,2010-01-27,6.2405829429626465,6.321636720535007,5.989914404108162,6.209661911212719,1722568400
17,2010-01-28,5.982709884643555,6.169135098442169,5.964998409144711,6.152024039116972,1173502400
18,2010-01-29,5.765664577484131,6.070068759975872,5.711328116873263,6.036446256289082,1245952400
19,2010-02-01,5.8458170890808105,5.883942707215243,5.742848139801959,5.774969597344578,749876400
20,2010-02-02,5.879740238189697,5.8935498085922395,5.805290645295953,5.881241679262661,698342400
21,2010-02-03,5.980906009674072,6.010025780496442,5.836509189817251,5.8590243856298345,615328000
22,2010-02-04,5.765362739562988,5.95508937153389,5.750952756648189,5.9058560648650955,757652000
23,2010-02-05,5.86773157119751,5.883942805064995,5.729338873749076,5.782775102281272,850306800
24,2010-02-08,5.827505111694336,5.940380931985343,5.823902615146617,5.874636973236708,478270800
25,2010-02-09,5.889647483825684,5.928973538768982,5.846418323139816,5.896551868660504,632886800
26,2010-02-10,5.857524871826172,5.901955259927815,5.831707782594653,5.8806400887589,370361600
27,2010-02-11,5.96409797668457,5.996520052471183,5.825705241402799,5.850321906156436,550345600
28,2010-02-12,6.015431880950928,6.053257296478956,5.868933548000937,5.947285850898843,655468800
29,2010-02-16,6.106091499328613,6.114797130890145,6.049653595343914,6.062261931072785,543737600
30,2010-02-17,6.080574989318848,6.133409999547613,6.029840232872504,6.129807503174255,436396800
31,2010-02-18,6.091981887817383,6.120801457022376,6.031641278030102,6.052955245898117,422825200
32,2010-02-19,6.054156303405762,6.100087327665818,6.037345055528109,6.059860656451437,415469600
33,2010-02-22,6.016631126403809,6.079073190767008,5.979706743184227,6.0742702633635055,390563600
34,2010-02-23,5.915765762329102,6.043951824406528,5.875238868400178,6.0040249459081325,575094800
35,2010-02-24,6.023838043212891,6.047253472561512,5.939180564440741,5.950888679926919,460566400
36,2010-02-25,6.064064025878906,6.08988111696725,5.910661317187328,5.925371111060244,665126000
37,2010-02-26,6.1427178382873535,6.159228883999719,6.064065315267626,6.075472822963398,507460800
38,2010-03-01,6.273903846740723,6.289213652981877,6.167632219738969,6.176638058847603,550093600
39,2010-03-02,6.269700527191162,6.329140103554581,6.236377842463775,6.30212178636162,566546400
40,2010-03-03,6.284109592437744,6.300320823975116,6.242382284875532,6.272402282395339,372052800
41,2010-03-04,6.3255391120910645,6.331843481524197,6.2630970363317555,6.28261096157948,366041200
42,2010-03-05,6.572904586791992,6.5954197884849295,6.443217522047294,6.4525239710825835,899620400
43,2010-03-08,6.576807498931885,6.6071273088270885,6.551890632184862,6.604726045295875,429889600
44,2010-03-09,6.695087909698486,6.754527510016909,6.541084762311828,6.553693101650299,920259200
45,2010-03-10,6.749722480773926,6.768935794260127,6.700489968212656,6.719402672863855,596218000
46,2010-03-11,6.769533157348633,6.769533157348633,6.704089834109557,6.721802101589104,405700400
47,2010-03-12,6.802560329437256,6.836482643789877,6.777043040629622,6.825675151715721,416323600
48,2010-03-15,6.7197041511535645,6.769536688369646,6.611931454502878,6.765934993033692,493502800
49,2010-03-16,6.738015651702881,6.753926278206962,6.679776890812714,6.729910434825474,446908000
50,2010-03-17,6.728107929229736,6.798054390677824,6.702591050303533,6.751523352110669,450956800
51,2010-03-18,6.744019985198975,6.7545268668452465,6.682778741307207,6.727508140524381,342109600
52,2010-03-19,6.671970367431641,6.761730559095539,6.641349550973446,6.748221599347028,559445600
53,2010-03-22,6.747021675109863,6.784547280903496,6.608929177296353,6.618535834987349,456419600
54,2010-03-23,6.85539436340332,6.868003102334355,6.727508130545306,6.77373937166875,602431200
55,2010-03-24,6.885715007781982,6.910631876871496,6.82987710818094,6.833780213917094,597780400
56,2010-03-25,6.804057598114014,6.933745033878708,6.792049279536708,6.932243593244842,542284400
57,2010-03-26,6.931646347045898,6.963166991644838,6.861098653737633,6.873106976417425,640875200
58,2010-03-29,6.97637414932251,7.0208041339994285,6.953259334560959,6.994687239082441,540744400
59,2010-03-30,7.0802435874938965,7.129177092314952,7.032211107514656,7.10275878743343,527310000
60,2010-03-31,7.054726600646973,7.103059691456705,7.038516169055862,7.069437194560951,430659600
61,2010-04-01,7.083847522735596,7.166702545462233,6.987182928742675,7.127076683336795,603145200
62,2010-04-05,7.159497261047363,7.1600976770977685,7.047822280542541,7.054127049883586,684507600
63,2010-04-06,7.191015720367432,7.212029471792504,7.114764516838616,7.150788663298194,447017200
64,2010-04-07,7.222837448120117,7.2624640920867,7.164597913043139,7.191316017212546,628502000
65,2010-04-08,7.2033281326293945,7.251060014825711,7.145989591890814,7.218037927710384,572989200
